Time,id,iq,Te,omega_m
0.016,0.646,9.327,5.561,5.614
0.016,0.654,9.327,5.560,5.664
0.016,0.662,9.326,5.559,5.715
0.016,0.670,9.325,5.559,5.766
0.016,0.678,9.324,5.557,5.816
0.016,0.686,9.322,5.556,5.867
0.016,0.694,9.320,5.555,5.917
0.016,0.701,9.318,5.553,5.968
0.016,0.709,9.316,5.552,6.018
0.017,0.717,9.313,5.550,6.069
0.017,0.725,9.310,5.548,6.119
0.017,0.733,9.307,5.546,6.170
0.017,0.740,9.304,5.543,6.220
0.017,0.748,9.300,5.541,6.271
0.017,0.755,9.296,5.538,6.321
0.017,0.763,9.292,5.536,6.371
0.017,0.771,9.288,5.533,6.422
0.017,0.778,9.283,5.530,6.472
0.017,0.786,9.278,5.526,6.522
0.018,0.793,9.273,5.523,6.572
0.018,0.801,9.268,5.520,6.623
0.018,0.808,9.263,5.516,6.673
0.018,0.815,9.257,5.513,6.723
0.018,0.823,9.251,5.509,6.773
0.018,0.830,9.245,5.505,6.823
0.018,0.837,9.239,5.501,6.873
0.018,0.844,9.232,5.497,6.923
0.018,0.852,9.226,5.493,6.973
0.018,0.859,9.219,5.488,7.023
0.019,0.866,9.212,5.484,7.073
0.019,0.873,9.205,5.479,7.122
0.019,0.880,9.198,5.475,7.172
0.019,0.887,9.190,5.470,7.222
0.019,0.894,9.183,5.465,7.272
0.019,0.900,9.175,5.460,7.321
0.019,0.907,9.167,5.455,7.371
0.019,0.914,9.159,5.450,7.420
0.019,0.921,9.151,5.445,7.470
0.019,0.927,9.142,5.440,7.519
0.020,0.934,9.134,5.435,7.568
0.020,0.940,9.125,5.429,7.618
0.020,0.947,9.116,5.424,7.667
0.020,0.953,9.108,5.418,7.716
0.020,0.960,9.099,5.412,7.765
0.020,0.966,9.089,5.407,7.814
0.020,0.972,9.080,5.401,7.863
0.020,0.978,9.071,5.395,7.912
0.020,0.984,9.061,5.389,7.961
0.020,0.991,9.052,5.383,8.010
0.021,0.997,9.042,5.377,8.059
0.021,1.003,9.032,5.371,8.107
0.021,1.009,9.023,5.365,8.156
0.021,1.014,9.013,5.359,8.205
0.021,1.020,9.003,5.353,8.253
0.021,1.026,8.992,5.346,8.302
0.021,1.032,8.982,5.340,8.350
0.021,1.037,8.972,5.334,8.398
0.021,1.043,8.962,5.327,8.447
0.021,1.048,8.951,5.321,8.495
0.022,1.054,8.941,5.314,8.543
0.022,1.059,8.930,5.308,8.591
0.022,1.064,8.919,5.301,8.639
0.022,1.070,8.909,5.295,8.687
0.022,1.075,8.898,5.288,8.735
0.022,1.080,8.887,5.281,8.783
0.022,1.085,8.876,5.275,8.831
0.022,1.090,8.865,5.268,8.878
0.022,1.095,8.854,5.261,8.926
0.022,1.100,8.843,5.254,8.973
0.023,1.105,8.832,5.247,9.021
0.023,1.109,8.821,5.240,9.068
0.023,1.114,8.809,5.234,9.116
0.023,1.119,8.798,5.227,9.163
0.023,1.123,8.787,5.220,9.210
0.023,1.128,8.775,5.213,9.257
0.023,1.132,8.764,5.206,9.304
0.023,1.137,8.753,5.199,9.351
0.023,1.141,8.741,5.192,9.398
0.023,1.145,8.730,5.185,9.445
0.024,1.149,8.718,5.178,9.492
0.024,1.153,8.707,5.171,9.538
0.024,1.157,8.695,5.164,9.585
0.024,1.161,8.683,5.157,9.632
0.024,1.165,8.672,5.150,9.678
0.024,1.169,8.660,5.142,9.725
0.024,1.173,8.649,5.135,9.771
0.024,1.177,8.637,5.128,9.817
0.024,1.180,8.625,5.121,9.863
0.024,1.184,8.614,5.114,9.910
0.025,1.188,8.602,5.107,9.956
0.025,1.191,8.590,5.100,10.002
0.025,1.195,8.579,5.093,10.048
0.025,1.198,8.567,5.086,10.093
0.025,1.201,8.555,5.079,10.139
0.025,1.204,8.544,5.072,10.185
0.025,1.208,8.532,5.064,10.231
0.025,1.211,8.520,5.057,10.276
0.025,1.214,8.509,5.050,10.322
0.025,1.217,8.497,5.043,10.367
0.026,1.220,8.485,5.036,10.412
0.026,1.223,8.474,5.029,10.458
0.026,1.225,8.462,5.022,10.503
0.026,1.228,8.450,5.015,10.548
0.026,1.231,8.439,5.008,10.593
0.026,1.234,8.427,5.001,10.638
0.026,1.236,8.415,4.994,10.683
0.026,1.239,8.404,4.987,10.728
0.026,1.241,8.392,4.980,10.773
0.026,1.244,8.381,4.973,10.818
0.027,1.246,8.369,4.966,10.862
0.027,1.248,8.358,4.959,10.907
0.027,1.250,8.346,4.952,10.951
0.027,1.253,8.335,4.945,10.996
0.027,1.255,8.323,4.938,11.040
0.027,1.257,8.312,4.931,11.084
0.027,1.259,8.301,4.925,11.129
0.027,1.261,8.289,4.918,11.173
0.027,1.263,8.278,4.911,11.217
0.027,1.265,8.267,4.904,11.261
0.028,1.266,8.256,4.897,11.305
0.028,1.268,8.244,4.891,11.349
0.028,1.270,8.233,4.884,11.393
0.028,1.271,8.222,4.877,11.437
0.028,1.273,8.211,4.871,11.480
0.028,1.275,8.200,4.864,11.524
0.028,1.276,8.189,4.857,11.567
0.028,1.278,8.178,4.851,11.611
0.028,1.279,8.167,4.844,11.654
0.028,1.280,8.156,4.837,11.698
0.029,1.282,8.145,4.831,11.741
0.029,1.283,8.134,4.824,11.784
0.029,1.284,8.124,4.818,11.828
0.029,1.285,8.113,4.812,11.871
0.029,1.286,8.102,4.805,11.914
0.029,1.287,8.091,4.799,11.957
0.029,1.288,8.081,4.792,12.000
0.029,1.289,8.070,4.786,12.042
0.029,1.290,8.060,4.780,12.085
0.029,1.291,8.049,4.773,12.128
0.030,1.292,8.039,4.767,12.171
0.030,1.293,8.028,4.761,12.213
0.030,1.293,8.018,4.755,12.256
0.030,1.294,8.008,4.749,12.298
0.030,1.295,7.998,4.743,12.341
0.030,1.295,7.987,4.736,12.383
0.030,1.296,7.977,4.730,12.425
0.030,1.297,7.967,4.724,12.468
0.030,1.297,7.957,4.718,12.510
0.030,1.298,7.947,4.712,12.552
0.031,1.298,7.937,4.706,12.594
0.031,1.298,7.927,4.701,12.636
0.031,1.299,7.918,4.695,12.678
0.031,1.299,7.908,4.689,12.720
0.031,1.299,7.898,4.683,12.762
0.031,1.299,7.889,4.677,12.803
0.031,1.300,7.879,4.672,12.845
0.031,1.300,7.869,4.666,12.887
0.031,1.300,7.860,4.660,12.928
0.031,1.300,7.851,4.655,12.970
0.032,1.300,7.841,4.649,13.011
0.032,1.300,7.832,4.644,13.053
0.032,1.300,7.823,4.638,13.094
0.032,1.300,7.813,4.633,13.136
0.032,1.300,7.804,4.627,13.177
0.032,1.300,7.795,4.622,13.218
0.032,1.300,7.786,4.616,13.259
0.032,1.300,7.777,4.611,13.300
0.032,1.299,7.768,4.606,13.341
0.032,1.299,7.759,4.600,13.382
0.033,1.299,7.751,4.595,13.423
0.033,1.299,7.742,4.590,13.464
0.033,1.298,7.733,4.585,13.505
0.033,1.298,7.725,4.580,13.546
