Time,id,iq,Te,omega_m
0.240,1.203,6.937,4.112,88.658
0.240,1.203,6.937,4.112,88.694
0.240,1.203,6.937,4.112,88.730
0.240,1.203,6.937,4.112,88.766
0.240,1.203,6.937,4.112,88.802
0.240,1.203,6.937,4.112,88.838
0.241,1.203,6.937,4.112,88.875
0.241,1.203,6.937,4.112,88.911
0.241,1.203,6.937,4.112,88.947
0.241,1.203,6.937,4.112,88.983
0.241,1.203,6.937,4.112,89.019
0.241,1.203,6.937,4.112,89.055
0.241,1.203,6.937,4.112,89.091
0.241,1.203,6.937,4.112,89.127
0.241,1.203,6.937,4.112,89.164
0.241,1.203,6.937,4.112,89.200
0.242,1.203,6.937,4.112,89.236
0.242,1.203,6.937,4.112,89.272
0.242,1.203,6.937,4.112,89.308
0.242,1.203,6.937,4.112,89.344
0.242,1.203,6.937,4.112,89.380
0.242,1.203,6.937,4.112,89.416
0.242,1.203,6.937,4.112,89.452
0.242,1.203,6.937,4.112,89.489
0.242,1.203,6.937,4.112,89.525
0.242,1.203,6.937,4.112,89.561
0.243,1.203,6.937,4.112,89.597
0.243,1.203,6.937,4.112,89.633
0.243,1.203,6.937,4.112,89.669
0.243,1.203,6.937,4.112,89.705
0.243,1.203,6.937,4.112,89.741
0.243,1.203,6.937,4.112,89.778
0.243,1.203,6.937,4.112,89.814
0.243,1.203,6.937,4.112,89.850
0.243,1.203,6.937,4.112,89.886
0.243,1.203,6.937,4.112,89.922
0.244,1.203,6.937,4.112,89.958
0.244,1.203,6.937,4.112,89.994
0.244,1.203,6.937,4.112,90.030
0.244,1.203,6.937,4.112,90.067
0.244,1.203,6.937,4.112,90.103
0.244,1.203,6.937,4.112,90.139
0.244,1.203,6.937,4.112,90.175
0.244,1.203,6.937,4.112,90.211
0.244,1.203,6.937,4.112,90.247
0.244,1.203,6.937,4.112,90.283
0.245,1.203,6.937,4.112,90.319
0.245,1.203,6.937,4.112,90.356
0.245,1.203,6.937,4.112,90.392
0.245,1.203,6.937,4.112,90.428
0.245,1.203,6.937,4.112,90.464
0.245,1.203,6.937,4.112,90.500
0.245,1.203,6.937,4.112,90.536
0.245,1.203,6.937,4.112,90.572
0.245,1.203,6.937,4.112,90.608
0.245,1.203,6.937,4.112,90.644
0.246,1.203,6.937,4.112,90.681
0.246,1.203,6.937,4.112,90.717
0.246,1.203,6.937,4.112,90.753
0.246,1.203,6.937,4.112,90.789
0.246,1.203,6.937,4.112,90.825
0.246,1.203,6.937,4.112,90.861
0.246,1.203,6.937,4.112,90.897
0.246,1.203,6.937,4.112,90.933
0.246,1.203,6.937,4.112,90.970
0.246,1.203,6.937,4.112,91.006
0.247,1.203,6.937,4.112,91.042
0.247,1.203,6.937,4.112,91.078
0.247,1.203,6.937,4.112,91.114
0.247,1.203,6.937,4.112,91.150
0.247,1.203,6.937,4.112,91.186
0.247,1.203,6.937,4.112,91.222
0.247,1.203,6.937,4.112,91.259
0.247,1.203,6.937,4.112,91.295
0.247,1.203,6.937,4.112,91.331
0.247,1.203,6.937,4.112,91.367
0.248,1.203,6.937,4.112,91.403
0.248,1.203,6.937,4.112,91.439
0.248,1.203,6.937,4.112,91.475
0.248,1.203,6.937,4.112,91.511
0.248,1.203,6.937,4.112,91.548
0.248,1.203,6.937,4.112,91.584
0.248,1.203,6.937,4.112,91.620
0.248,1.203,6.937,4.112,91.656
0.248,1.203,6.937,4.112,91.692
0.248,1.203,6.937,4.112,91.728
0.249,1.203,6.937,4.112,91.764
0.249,1.203,6.937,4.112,91.800
0.249,1.203,6.937,4.112,91.837
0.249,1.203,6.937,4.112,91.873
0.249,1.203,6.937,4.112,91.909
0.249,1.203,6.937,4.112,91.945
0.249,1.203,6.937,4.112,91.981
0.249,1.203,6.937,4.112,92.017
0.249,1.203,6.937,4.112,92.053
0.249,1.203,6.937,4.112,92.089
0.250,1.203,6.937,4.112,92.125
0.250,1.203,6.937,4.112,92.162
0.250,1.203,6.937,4.112,92.198
0.250,1.203,6.937,4.112,92.234
0.250,1.203,6.937,4.112,92.270
0.250,1.203,6.937,4.112,92.306
0.250,1.203,6.937,4.112,92.342
0.250,1.203,6.937,4.112,92.378
0.250,1.203,6.937,4.112,92.414
0.250,1.203,6.937,4.112,92.451
0.251,1.203,6.937,4.112,92.487
0.251,1.203,6.937,4.112,92.523
0.251,1.203,6.937,4.112,92.559
0.251,1.203,6.937,4.112,92.595
0.251,1.203,6.937,4.112,92.631
0.251,1.203,6.937,4.112,92.667
0.251,1.203,6.937,4.112,92.703
0.251,1.203,6.937,4.112,92.740
0.251,1.203,6.937,4.112,92.776
0.251,1.203,6.937,4.112,92.812
0.252,1.203,6.937,4.112,92.848
0.252,1.203,6.937,4.112,92.884
0.252,1.203,6.937,4.112,92.920
0.252,1.203,6.937,4.112,92.956
0.252,1.203,6.937,4.112,92.992
0.252,1.203,6.937,4.112,93.029
0.252,1.203,6.937,4.112,93.065
0.252,1.203,6.937,4.112,93.101
0.252,1.203,6.937,4.112,93.137
0.252,1.203,6.937,4.112,93.173
0.253,1.203,6.937,4.112,93.209
0.253,1.203,6.937,4.112,93.245
0.253,1.203,6.937,4.112,93.281
0.253,1.203,6.937,4.112,93.317
0.253,1.203,6.937,4.112,93.354
0.253,1.203,6.937,4.112,93.390
0.253,1.203,6.937,4.112,93.426
0.253,1.203,6.937,4.112,93.462
0.253,1.203,6.937,4.112,93.498
0.253,1.203,6.937,4.112,93.534
0.254,1.203,6.937,4.112,93.570
0.254,1.203,6.937,4.112,93.606
0.254,1.203,6.937,4.112,93.643
0.254,1.203,6.937,4.112,93.679
0.254,1.203,6.937,4.112,93.715
0.254,1.203,6.937,4.112,93.751
0.254,1.203,6.937,4.112,93.787
0.254,1.203,6.937,4.112,93.823
0.254,1.203,6.937,4.112,93.859
0.254,1.203,6.937,4.112,93.895
0.255,1.203,6.937,4.112,93.932
0.255,1.203,6.937,4.112,93.968
0.255,1.203,6.937,4.112,94.004
0.255,1.203,6.937,4.112,94.040
0.255,1.203,6.937,4.112,94.076
0.255,1.203,6.937,4.112,94.112
0.255,1.203,6.937,4.112,94.148
0.255,1.203,6.937,4.112,94.184
0.255,1.203,6.937,4.112,94.221
0.255,1.203,6.937,4.112,94.257
0.256,1.203,6.937,4.112,94.293
0.256,1.203,6.937,4.112,94.329
0.256,1.203,6.937,4.112,94.365
0.256,1.203,6.937,4.112,94.401
0.256,1.203,6.937,4.112,94.437
0.256,1.203,6.937,4.112,94.473
0.256,1.203,6.937,4.112,94.509
0.256,1.203,6.937,4.112,94.546
0.256,1.203,6.937,4.112,94.582
0.256,1.203,6.937,4.112,94.618
0.257,1.203,6.937,4.112,94.654
0.257,1.203,6.937,4.112,94.690
0.257,1.203,6.937,4.112,94.726
0.257,1.203,6.937,4.112,94.762
0.257,1.203,6.937,4.112,94.798
0.257,1.203,6.937,4.112,94.835
0.257,1.203,6.937,4.112,94.871
0.257,1.203,6.937,4.112,94.907
0.257,1.203,6.937,4.112,94.943
0.257,1.203,6.937,4.112,94.979
0.258,1.203,6.937,4.112,95.015
0.258,1.203,6.937,4.112,95.051
0.258,1.203,6.937,4.112,95.087
0.258,1.203,6.937,4.112,95.124
0.258,1.203,6.937,4.112,95.160
0.258,1.203,6.937,4.112,95.196
0.258,1.203,6.937,4.112,95.232
0.258,1.203,6.937,4.112,95.268
0.258,1.203,6.937,4.112,95.304
0.258,1.203,6.937,4.112,95.340
0.259,1.203,6.937,4.112,95.376
0.259,1.203,6.937,4.112,95.413
0.259,1.203,6.937,4.112,95.449
0.259,1.203,6.937,4.112,95.485
0.259,1.203,6.937,4.112,95.521
0.259,1.203,6.937,4.112,95.557
0.259,1.203,6.937,4.112,95.593
0.259,1.203,6.937,4.112,95.629
0.259,1.203,6.937,4.112,95.665
0.259,1.203,6.937,4.112,95.701
0.260,1.203,6.937,4.112,95.738
0.260,1.203,6.937,4.112,95.774
0.260,1.203,6.937,4.112,95.810
0.260,1.203,6.937,4.112,95.846
0.260,1.203,6.937,4.112,95.882
0.260,1.203,6.937,4.112,95.918
0.260,1.203,6.937,4.112,95.954
0.260,1.203,6.937,4.112,95.990
0.260,1.203,6.937,4.112,96.027
0.260,1.203,6.937,4.112,96.063
0.261,1.203,6.937,4.112,96.099
0.261,1.203,6.937,4.112,96.135
0.261,1.203,6.937,4.112,96.171
0.261,1.203,6.937,4.112,96.207
0.261,1.203,6.937,4.112,96.243
0.261,1.203,6.937,4.112,96.279
0.261,1.203,6.937,4.112,96.316
0.261,1.203,6.937,4.112,96.352
0.261,1.203,6.937,4.112,96.388
0.261,1.203,6.937,4.112,96.424
0.262,1.203,6.937,4.112,96.460
0.262,1.203,6.937,4.112,96.496
0.262,1.203,6.937,4.112,96.532
0.262,1.203,6.937,4.112,96.568
0.262,1.203,6.937,4.112,96.605
0.262,1.203,6.937,4.112,96.641
0.262,1.203,6.937,4.112,96.677
0.262,1.203,6.937,4.112,96.713
0.262,1.203,6.937,4.112,96.749
0.262,1.203,6.937,4.112,96.785
0.263,1.203,6.937,4.112,96.821
0.263,1.203,6.937,4.112,96.857
0.263,1.203,6.937,4.112,96.893
0.263,1.203,6.937,4.112,96.930
0.263,1.203,6.937,4.112,96.966
0.263,1.203,6.937,4.112,97.002
0.263,1.203,6.937,4.112,97.038
0.263,1.203,6.937,4.112,97.074
0.263,1.203,6.937,4.112,97.110
0.263,1.203,6.937,4.112,97.146
0.264,1.203,6.937,4.112,97.182
0.264,1.203,6.937,4.112,97.219
0.264,1.203,6.937,4.112,97.255
0.264,1.203,6.937,4.112,97.291
0.264,1.203,6.937,4.112,97.327
0.264,1.203,6.937,4.112,97.363
0.264,1.203,6.937,4.112,97.399
0.264,1.203,6.937,4.112,97.435
0.264,1.203,6.937,4.112,97.471
0.264,1.203,6.937,4.112,97.508
0.265,1.203,6.937,4.112,97.544
0.265,1.203,6.937,4.112,97.580
0.265,1.203,6.937,4.112,97.616
0.265,1.203,6.937,4.112,97.652
0.265,1.203,6.937,4.112,97.688
0.265,1.203,6.937,4.112,97.724
0.265,1.203,6.937,4.112,97.760
0.265,1.203,6.937,4.112,97.796
0.265,1.203,6.937,4.112,97.833
0.265,1.203,6.937,4.112,97.869
0.266,1.203,6.937,4.112,97.905
0.266,1.203,6.937,4.112,97.941
0.266,1.203,6.937,4.112,97.977
0.266,1.203,6.937,4.112,98.013
0.266,1.203,6.937,4.112,98.049
0.266,1.203,6.937,4.112,98.085
0.266,1.203,6.937,4.112,98.122
0.266,1.203,6.937,4.112,98.158
0.266,1.203,6.937,4.112,98.194
0.266,1.203,6.937,4.112,98.230
0.267,1.203,6.937,4.112,98.266
0.267,1.203,6.937,4.112,98.302
0.267,1.203,6.937,4.112,98.338
0.267,1.203,6.937,4.112,98.374
0.267,1.203,6.937,4.112,98.411
0.267,1.203,6.937,4.112,98.447
0.267,1.203,6.937,4.112,98.483
0.267,1.203,6.937,4.112,98.519
0.267,1.203,6.937,4.112,98.555
0.267,1.203,6.937,4.112,98.591
0.268,1.203,6.937,4.112,98.627
0.268,1.203,6.937,4.112,98.663
0.268,1.203,6.937,4.112,98.700
0.268,1.203,6.937,4.112,98.736
0.268,1.203,6.937,4.112,98.772
0.268,1.203,6.937,4.112,98.808
0.268,1.203,6.937,4.112,98.844
0.268,1.203,6.937,4.112,98.880
0.268,1.203,6.937,4.112,98.916
0.268,1.203,6.937,4.112,98.952
0.269,1.203,6.937,4.112,98.988
0.269,1.203,6.937,4.112,99.025
0.269,1.203,6.937,4.112,99.061
0.269,1.203,6.937,4.112,99.097
0.269,1.203,6.937,4.112,99.133
0.269,1.203,6.937,4.112,99.169
0.269,1.203,6.937,4.112,99.205
0.269,1.203,6.937,4.112,99.241
0.269,1.203,6.937,4.112,99.277
0.269,1.203,6.937,4.112,99.314
0.270,1.203,6.937,4.112,99.350
0.270,1.203,6.937,4.112,99.386
0.270,1.203,6.937,4.112,99.422
0.270,1.203,6.937,4.112,99.458
0.270,1.203,6.937,4.112,99.494
0.270,1.203,6.937,4.112,99.530
0.270,1.203,6.937,4.112,99.566
0.270,1.203,6.937,4.112,99.603
0.270,1.203,6.937,4.112,99.639
0.270,1.203,6.937,4.112,99.675
0.271,1.203,6.937,4.112,99.711
0.271,1.203,6.937,4.112,99.747
0.271,1.203,6.937,4.112,99.783
0.271,1.203,6.937,4.112,99.819
0.271,1.203,6.937,4.112,99.855
0.271,1.203,6.937,4.112,99.892
0.271,1.203,6.937,4.112,99.928
0.271,1.203,6.937,4.112,99.964
0.271,1.203,6.937,4.112,100.000
0.271,1.203,6.937,4.112,100.036
0.272,1.203,6.937,4.112,100.072
0.272,1.203,6.937,4.112,100.108
0.272,1.203,6.937,4.112,100.144
0.272,1.203,6.937,4.112,100.180
0.272,1.203,6.937,4.112,100.217
0.272,1.203,6.937,4.112,100.253
0.272,1.203,6.937,4.112,100.289
0.272,1.203,6.937,4.112,100.325
0.272,1.203,6.937,4.112,100.361
0.272,1.203,6.937,4.112,100.397
0.273,1.203,6.937,4.112,100.433
0.273,1.203,6.937,4.112,100.469
0.273,1.203,6.937,4.112,100.506
0.273,1.203,6.937,4.112,100.542
0.273,1.203,6.937,4.112,100.578
0.273,1.203,6.937,4.112,100.614
0.273,1.203,6.937,4.112,100.650
0.273,1.203,6.937,4.112,100.686
0.273,1.203,6.937,4.112,100.722
0.273,1.203,6.937,4.112,100.758
0.274,1.203,6.937,4.112,100.795
0.274,1.203,6.937,4.112,100.831
0.274,1.203,6.937,4.112,100.867
0.274,1.203,6.937,4.112,100.903
0.274,1.203,6.937,4.112,100.939
0.274,1.203,6.937,4.112,100.975
0.274,1.203,6.937,4.112,101.011
0.274,1.203,6.937,4.112,101.047
0.274,1.203,6.937,4.112,101.083
0.274,1.203,6.937,4.112,101.120
0.275,1.203,6.937,4.112,101.156
0.275,1.203,6.937,4.112,101.192
0.275,1.203,6.937,4.112,101.228
0.275,1.203,6.937,4.112,101.264
0.275,1.203,6.937,4.112,101.300
0.275,1.203,6.937,4.112,101.336
0.275,1.203,6.937,4.112,101.372
0.275,1.203,6.937,4.112,101.409
0.275,1.203,6.937,4.112,101.445
0.275,1.203,6.937,4.112,101.481
0.276,1.203,6.937,4.112,101.517
0.276,1.203,6.937,4.112,101.553
0.276,1.203,6.937,4.112,101.589
0.276,1.203,6.937,4.112,101.625
0.276,1.203,6.937,4.112,101.661
0.276,1.203,6.937,4.112,101.698
0.276,1.203,6.937,4.112,101.734
0.276,1.203,6.937,4.112,101.770
0.276,1.203,6.937,4.112,101.806
0.276,1.203,6.937,4.112,101.842
0.277,1.203,6.937,4.112,101.878
0.277,1.203,6.937,4.112,101.914
0.277,1.203,6.937,4.112,101.950
0.277,1.203,6.937,4.112,101.987
0.277,1.203,6.937,4.112,102.023
0.277,1.203,6.937,4.112,102.059
0.277,1.203,6.937,4.112,102.095
0.277,1.203,6.937,4.112,102.131
0.277,1.203,6.937,4.112,102.167
0.277,1.203,6.937,4.112,102.203
0.278,1.203,6.937,4.112,102.239
0.278,1.203,6.937,4.112,102.275
0.278,1.203,6.937,4.112,102.312
0.278,1.203,6.937,4.112,102.348
0.278,1.203,6.937,4.112,102.384
0.278,1.203,6.937,4.112,102.420
0.278,1.203,6.937,4.112,102.456
0.278,1.203,6.937,4.112,102.492
0.278,1.203,6.937,4.112,102.528
0.278,1.203,6.937,4.112,102.564
0.279,1.203,6.937,4.112,102.601
0.279,1.203,6.937,4.112,102.637
0.279,1.203,6.937,4.112,102.673
0.279,1.203,6.937,4.112,102.709
0.279,1.203,6.937,4.112,102.745
0.279,1.203,6.937,4.112,102.781
0.279,1.203,6.937,4.112,102.817
0.279,1.203,6.937,4.112,102.853
0.279,1.203,6.937,4.112,102.890
0.279,1.203,6.937,4.112,102.926
0.280,1.203,6.937,4.112,102.962
0.280,1.203,6.937,4.112,102.998
0.280,1.203,6.937,4.112,103.034
0.280,1.203,6.937,4.112,103.070
0.280,1.203,6.937,4.112,103.106
0.280,1.203,6.937,4.112,103.142
0.280,1.203,6.937,4.112,103.178
0.280,1.203,6.937,4.112,103.215
0.280,1.203,6.937,4.112,103.251
0.280,1.203,6.937,4.112,103.287
0.281,1.203,6.937,4.112,103.323
0.281,1.203,6.937,4.112,103.359
0.281,1.203,6.937,4.112,103.395
0.281,1.203,6.937,4.112,103.431
0.281,1.203,6.937,4.112,103.467
0.281,1.203,6.937,4.112,103.504
0.281,1.203,6.937,4.112,103.540
0.281,1.203,6.937,4.112,103.576
0.281,1.203,6.937,4.112,103.612
0.281,1.203,6.937,4.112,103.648
0.282,1.203,6.937,4.112,103.684
0.282,1.203,6.937,4.112,103.720
0.282,1.203,6.937,4.112,103.756
0.282,1.203,6.937,4.112,103.793
0.282,1.203,6.937,4.112,103.829
0.282,1.203,6.937,4.112,103.865
0.282,1.203,6.937,4.112,103.901
0.282,1.203,6.937,4.112,103.937
0.282,1.203,6.937,4.112,103.973
0.282,1.203,6.937,4.112,104.009
0.283,1.203,6.937,4.112,104.045
0.283,1.203,6.937,4.112,104.082
0.283,1.203,6.937,4.112,104.118
0.283,1.203,6.937,4.112,104.154
0.283,1.203,6.937,4.112,104.190
0.283,1.203,6.937,4.112,104.226
0.283,1.203,6.937,4.112,104.262
0.283,1.203,6.937,4.112,104.298
0.283,1.203,6.937,4.112,104.334
0.283,1.203,6.937,4.112,104.370
0.284,1.203,6.937,4.112,104.407
0.284,1.203,6.937,4.112,104.443
0.284,1.203,6.937,4.112,104.479
0.284,1.203,6.937,4.112,104.515
0.284,1.203,6.937,4.112,104.551
0.284,1.203,6.937,4.112,104.587
0.284,1.203,6.937,4.112,104.623
0.284,1.203,6.937,4.112,104.659
0.284,1.203,6.937,4.112,104.696
0.284,1.203,6.937,4.112,104.732
0.285,1.203,6.937,4.112,104.768
0.285,1.203,6.937,4.112,104.804
0.285,1.203,6.937,4.112,104.840
0.285,1.203,6.937,4.112,104.876
0.285,1.203,6.937,4.112,104.912
0.285,1.203,6.937,4.112,104.948
0.285,1.203,6.937,4.112,104.985
0.285,1.203,6.937,4.112,105.021
0.285,1.203,6.937,4.112,105.057
0.285,1.203,6.937,4.112,105.093
0.286,1.203,6.937,4.112,105.129
0.286,1.203,6.937,4.112,105.165
0.286,1.203,6.937,4.112,105.201
0.286,1.203,6.937,4.112,105.237
0.286,1.203,6.937,4.112,105.273
0.286,1.203,6.937,4.112,105.310
0.286,1.203,6.937,4.112,105.346
0.286,1.203,6.937,4.112,105.382
0.286,1.203,6.937,4.112,105.418
0.286,1.203,6.937,4.112,105.454
0.287,1.203,6.937,4.112,105.490
0.287,1.203,6.937,4.112,105.526
0.287,1.203,6.937,4.112,105.562
0.287,1.203,6.937,4.112,105.599
0.287,1.203,6.937,4.112,105.635
0.287,1.203,6.937,4.112,105.671
0.287,1.203,6.937,4.112,105.707
0.287,1.203,6.937,4.112,105.743
0.287,1.203,6.937,4.112,105.779
0.287,1.203,6.937,4.112,105.815
0.288,1.203,6.937,4.112,105.851
0.288,1.203,6.937,4.112,105.888
0.288,1.203,6.937,4.112,105.924
0.288,1.203,6.937,4.112,105.960
0.288,1.203,6.937,4.112,105.996
0.288,1.203,6.937,4.112,106.032
0.288,1.203,6.937,4.112,106.068
0.288,1.203,6.937,4.112,106.104
0.288,1.203,6.937,4.112,106.140
0.288,1.203,6.937,4.112,106.177
0.289,1.203,6.937,4.112,106.213
0.289,1.203,6.937,4.112,106.249
0.289,1.203,6.937,4.112,106.285
0.289,1.203,6.937,4.112,106.321
0.289,1.203,6.937,4.112,106.357
0.289,1.203,6.937,4.112,106.393
0.289,1.203,6.937,4.112,106.429
0.289,1.203,6.937,4.112,106.465
0.289,1.203,6.937,4.112,106.502
0.289,1.203,6.937,4.112,106.538
0.290,1.203,6.937,4.112,106.574
0.290,1.203,6.937,4.112,106.610
0.290,1.203,6.937,4.112,106.646
0.290,1.203,6.937,4.112,106.682
0.290,1.203,6.937,4.112,106.718
0.290,1.203,6.937,4.112,106.754
0.290,1.203,6.937,4.112,106.791
0.290,1.203,6.937,4.112,106.827
0.290,1.203,6.937,4.112,106.863
0.290,1.203,6.937,4.112,106.899
0.291,1.203,6.937,4.112,106.935
0.291,1.203,6.937,4.112,106.971
0.291,1.203,6.937,4.112,107.007
0.291,1.203,6.937,4.112,107.043
0.291,1.203,6.937,4.112,107.080
0.291,1.203,6.937,4.112,107.116
0.291,1.203,6.937,4.112,107.152
0.291,1.203,6.937,4.112,107.188
0.291,1.203,6.937,4.112,107.224
0.291,1.203,6.937,4.112,107.260
0.292,1.203,6.937,4.112,107.296
0.292,1.203,6.937,4.112,107.332
0.292,1.203,6.937,4.112,107.368
0.292,1.203,6.937,4.112,107.405
0.292,1.203,6.937,4.112,107.441
0.292,1.203,6.937,4.112,107.477
0.292,1.203,6.937,4.112,107.513
0.292,1.203,6.937,4.112,107.549
0.292,1.203,6.937,4.112,107.585
0.292,1.203,6.937,4.112,107.621
0.293,1.203,6.937,4.112,107.657
0.293,1.203,6.937,4.112,107.694
0.293,1.203,6.937,4.112,107.730
0.293,1.203,6.937,4.112,107.766
0.293,1.203,6.937,4.112,107.802
0.293,1.203,6.937,4.112,107.838
0.293,1.203,6.937,4.112,107.874
0.293,1.203,6.937,4.112,107.910
0.293,1.203,6.937,4.112,107.946
0.293,1.203,6.937,4.112,107.983
0.294,1.203,6.937,4.112,108.019
0.294,1.203,6.937,4.112,108.055
0.294,1.203,6.937,4.112,108.091
0.294,1.203,6.937,4.112,108.127
0.294,1.203,6.937,4.112,108.163
0.294,1.203,6.937,4.112,108.199
0.294,1.203,6.937,4.112,108.235
0.294,1.203,6.937,4.112,108.271
0.294,1.203,6.937,4.112,108.308
0.294,1.203,6.937,4.112,108.344
0.295,1.203,6.937,4.112,108.380
0.295,1.203,6.937,4.112,108.416
0.295,1.203,6.937,4.112,108.452
0.295,1.203,6.937,4.112,108.488
0.295,1.203,6.937,4.112,108.524
0.295,1.203,6.937,4.112,108.560
0.295,1.203,6.937,4.112,108.597
0.295,1.203,6.937,4.112,108.633
0.295,1.203,6.937,4.112,108.669
0.295,1.203,6.937,4.112,108.705
0.296,1.203,6.937,4.112,108.741
0.296,1.203,6.937,4.112,108.777
0.296,1.203,6.937,4.112,108.813
0.296,1.203,6.937,4.112,108.849
0.296,1.203,6.937,4.112,108.886
0.296,1.203,6.937,4.112,108.922
0.296,1.203,6.937,4.112,108.958
0.296,1.203,6.937,4.112,108.994
0.296,1.203,6.937,4.112,109.030
0.296,1.203,6.937,4.112,109.066
0.297,1.203,6.937,4.112,109.102
0.297,1.203,6.937,4.112,109.138
0.297,1.203,6.937,4.112,109.174
0.297,1.203,6.937,4.112,109.211
0.297,1.203,6.937,4.112,109.247
0.297,1.203,6.937,4.112,109.283
0.297,1.203,6.937,4.112,109.319
0.297,1.203,6.937,4.112,109.355
0.297,1.203,6.937,4.112,109.391
0.297,1.203,6.937,4.112,109.427
0.298,1.203,6.937,4.112,109.463
0.298,1.203,6.937,4.112,109.500
0.298,1.203,6.937,4.112,109.536
0.298,1.203,6.937,4.112,109.572
0.298,1.203,6.937,4.112,109.608
0.298,1.203,6.937,4.112,109.644
0.298,1.203,6.937,4.112,109.680
0.298,1.203,6.937,4.112,109.716
0.298,1.203,6.937,4.112,109.752
0.298,1.203,6.937,4.112,109.789
0.299,1.203,6.937,4.112,109.825
0.299,1.203,6.937,4.112,109.861
0.299,1.203,6.937,4.112,109.897
0.299,1.203,6.937,4.112,109.933
0.299,1.203,6.937,4.112,109.969
0.299,1.203,6.937,4.112,110.005
0.299,1.203,6.937,4.112,110.041
0.299,1.203,6.937,4.112,110.077
0.299,1.203,6.937,4.112,110.114
0.299,1.203,6.937,4.112,110.150
0.300,1.203,6.937,4.112,110.186
0.300,1.203,6.937,4.112,110.222
0.300,1.203,6.937,4.112,110.258
0.300,1.203,6.937,4.112,110.294
0.300,1.203,6.937,4.112,110.330
0.300,1.203,6.937,4.112,110.366
0.300,1.203,6.937,4.112,110.403
0.300,1.203,6.937,4.112,110.439
0.300,1.203,6.937,4.112,110.475
0.300,1.203,6.937,4.112,110.511
0.301,1.203,6.937,4.112,110.547
0.301,1.203,6.937,4.112,110.583
0.301,1.203,6.937,4.112,110.619
0.301,1.203,6.937,4.112,110.655
0.301,1.203,6.937,4.112,110.692
0.301,1.203,6.937,4.112,110.728
0.301,1.203,6.937,4.112,110.764
0.301,1.203,6.937,4.112,110.800
0.301,1.203,6.937,4.112,110.836
0.301,1.203,6.937,4.112,110.872
0.302,1.203,6.937,4.112,110.908
0.302,1.203,6.937,4.112,110.944
0.302,1.203,6.937,4.112,110.981
0.302,1.203,6.937,4.112,111.017
0.302,1.203,6.937,4.112,111.053
0.302,1.203,6.937,4.112,111.089
0.302,1.203,6.937,4.112,111.125
0.302,1.203,6.937,4.112,111.161
0.302,1.203,6.937,4.112,111.197
0.302,1.203,6.937,4.112,111.233
0.303,1.203,6.937,4.112,111.269
0.303,1.203,6.937,4.112,111.306
0.303,1.203,6.937,4.112,111.342
0.303,1.203,6.937,4.112,111.378
0.303,1.203,6.937,4.112,111.414
0.303,1.203,6.937,4.112,111.450
0.303,1.203,6.937,4.112,111.486
0.303,1.203,6.937,4.112,111.522
0.303,1.203,6.937,4.112,111.558
0.303,1.203,6.937,4.112,111.595
0.304,1.203,6.937,4.112,111.631
0.304,1.203,6.937,4.112,111.667
0.304,1.203,6.937,4.112,111.703
0.304,1.203,6.937,4.112,111.739
0.304,1.203,6.937,4.112,111.775
0.304,1.203,6.937,4.112,111.811
0.304,1.203,6.937,4.112,111.847
0.304,1.203,6.937,4.112,111.884
0.304,1.203,6.937,4.112,111.920
0.304,1.203,6.937,4.112,111.956
0.305,1.203,6.937,4.112,111.992
0.305,1.203,6.937,4.112,112.028
0.305,1.203,6.937,4.112,112.064
0.305,1.203,6.937,4.112,112.100
0.305,1.203,6.937,4.112,112.136
0.305,1.203,6.937,4.112,112.172
0.305,1.203,6.937,4.112,112.209
0.305,1.203,6.937,4.112,112.245
0.305,1.203,6.937,4.112,112.281
0.305,1.203,6.937,4.112,112.317
0.306,1.203,6.937,4.112,112.353
0.306,1.203,6.937,4.112,112.389
0.306,1.203,6.937,4.112,112.425
0.306,1.203,6.937,4.112,112.461
0.306,1.203,6.937,4.112,112.498
0.306,1.203,6.937,4.112,112.534
0.306,1.203,6.937,4.112,112.570
0.306,1.203,6.937,4.112,112.606
0.306,1.203,6.937,4.112,112.642
0.306,1.203,6.937,4.112,112.678
0.307,1.203,6.937,4.112,112.714
0.307,1.203,6.937,4.112,112.750
0.307,1.203,6.937,4.112,112.787
0.307,1.203,6.937,4.112,112.823
0.307,1.203,6.937,4.112,112.859
0.307,1.203,6.937,4.112,112.895
0.307,1.203,6.937,4.112,112.931
0.307,1.203,6.937,4.112,112.967
0.307,1.203,6.937,4.112,113.003
0.307,1.203,6.937,4.112,113.039
0.308,1.203,6.937,4.112,113.075
0.308,1.203,6.937,4.112,113.112
0.308,1.203,6.937,4.112,113.148
0.308,1.203,6.937,4.112,113.184
0.308,1.203,6.937,4.112,113.220
0.308,1.203,6.937,4.112,113.256
0.308,1.203,6.937,4.112,113.292
0.308,1.203,6.937,4.112,113.328
0.308,1.203,6.937,4.112,113.364
0.308,1.203,6.937,4.112,113.401
0.309,1.203,6.937,4.112,113.437
0.309,1.203,6.937,4.112,113.473
0.309,1.203,6.937,4.112,113.509
0.309,1.203,6.937,4.112,113.545
0.309,1.203,6.937,4.112,113.581
0.309,1.203,6.937,4.112,113.617
0.309,1.203,6.937,4.112,113.653
0.309,1.203,6.937,4.112,113.690
0.309,1.203,6.937,4.112,113.726
0.309,1.203,6.937,4.112,113.762
0.310,1.203,6.937,4.112,113.798
0.310,1.203,6.937,4.112,113.834
0.310,1.203,6.937,4.112,113.870
